identity,NetworkFilename,Strain,CoatColor,CoatColor_numeric,Sex,Sex_numeric,Weight,Box,Box_numeric,TestAge,TestDate,TestTime,OFA_DistanceTraveled_first5m,OFA_DistanceTraveled_first20m,OFA_DistanceTraveled_first55m,OFA_PeripheryTime_first5m,OFA_PeripheryTime_first20m,OFA_PeripheryTime_first55m,OFA_CornerTime_first5m,OFA_CornerTime_first20m,OFA_CornerTime_first55m,OFA_Groom_first5m,OFA_Groom_first20m,OFA_Groom_first55m,OFA_Groom_first55m_linearslope,OFA_GroomBouts_first5m,OFA_GroomBouts_first20m,OFA_GroomBouts_first55m,OFA_GroomBouts_first55m_linearslope,OFA_GroomAvgBout_first5m,OFA_GroomAvgBout_first20m,OFA_GroomAvgBout_first55m,OFA_GroomAvgBout_first55m_linearslope,OFA_GroomPeakMidBin,OFA_GroomPeakVal,OFA_GroomPeakSlope
C3HeB-NA,LL1-B2B/2016-01-12_BG/LL1-1_C3HeB.avi,C3HeB/FeJ,Agouti,1,M,1,24.5,LL1-1,1,9,2016-01-12,2019-11-21 10:45:00,514.6154,2556.3439,10220.5722,300.0333,1200.0333,3237.0667,0,0,62.999966,0,0,91.63333,0.0457190649350649,0,0,10,0.00548340548340548,NA,NA,9.163333,-0.114176922909408,32.5,34.76667,1.06974369230769
C3HeB-NA,LL1-B2B/2016-01-12_BG/LL1-2_C3HeB.avi,C3HeB/FeJ,Agouti,1,M,1,25.5,LL1-2,2,9,2016-01-12,2019-11-21 10:45:00,682.3103,1884.5817,6810.3231,299.3666,1199.3666,3292.7666,0.666666,0.666666,7.299996,3.1,19.6333,131.46667,0.106342147907648,1,2,9,0.00353535353535353,3.1,9.81665,14.6074077777778,0.27486515871737,52.5,54.8334,1.04444571428571
C3HeB-NA,LL1-B2B/2016-01-12_BG/LL1-3_C3HeB.avi,C3HeB/FeJ,Agouti,1,M,1,25.1,LL1-3,3,9,2016-01-12,2019-11-21 10:45:00,888.174,4210.927,10075.3795,300,1191.2667,3230.9,0,8.73333,69.099997,0,9.8,186.13327,0.220706974747475,0,1,12,0.00858585858585859,NA,9.8,15.5111058333333,0.741413823071152,52.5,85.0333,1.6196819047619
C3HeB-NA,LL1-B2B/2016-01-12_BG/LL1-4_C3HeB.avi,C3HeB/FeJ,Agouti,1,M,1,25.7,LL1-4,4,9,2016-01-12,2019-11-21 10:45:00,443.5086,1074.5128,5133.4683,300.0666,1200.0666,3287.7999,0,0,12.3,0,12.73333,102.93327,0.126002788600289,0,2,10,0.00909090909090909,NA,6.366665,10.293327,0.202231573074154,52.5,55.59997,1.05904704761905
C57L-NA,LL1-B2B/2016-01-18_BG/LL1-1_C57L.avi,C57L/J,Gray,10,M,1,24.6,LL1-1,1,8.85714285714286,2016-01-18,2019-11-21 11:00:00,4154.377,11676.811,25085.1752,237.1667,1011.7333,2688.1335,62.8667,188.33338,612.0999,0,21.9333,136.1333,0.0689707070707071,0,2,7,0.000865800865800865,NA,10.96665,19.4476142857143,0.552659353146853,52.5,46.3,0.881904761904762
C57L-NA,LL1-B2B/2016-01-18_BG/LL1-2_C57L.avi,C57L/J,Gray,10,M,1,21.9,LL1-2,2,8.85714285714286,2016-01-18,2019-11-21 11:00:00,3655.071,9852.795,21372.16,268.6999,1068.6333,2745.6335,31.33333,131.40002,554.39982,4.76667,38.1333,97.1333,-0.00842226984126985,1,5,9,-0.00324675324675325,4.76667,7.62666,10.7925888888889,0.167241087941976,37.5,20.6,0.549333333333333
C57L-NA,LL1-B2B/2016-01-18_BG/LL1-3_C57L.avi,C57L/J,Gray,10,M,1,25.2,LL1-3,3,8.85714285714286,2016-01-18,2019-11-21 11:00:00,3869.719,12100.99,23382.0412,255.7333,958.4665,2812.9999,44.29997,241.5668,487.033356,3.46667,8.96667,248.33291,0.285468358585859,1,2,13,0.00533910533910534,3.46667,4.483335,19.1025315384615,1.071992236735,52.5,119.933,2.2844380952381
LL1-B2B/2016-01-19_BG/LL1-2_CAST.avi-NA,LL1-B2B/2016-01-19_BG/LL1-2_CAST.avi,CAST/EiJ,Agouti,1,F,0,15.8,LL1-2,2,11,2016-01-19,2019-11-21 10:40:00,2913.033,11855.126,27361.339,286.6333,1092.9667,2991.4336,13.433333,107.133333,308.666606,4.23333,21.9,89.26667,0.00905482756132756,1,4,11,-0.000865800865800867,4.23333,5.475,8.11515181818182,0.0757866785162288,37.5,15.43333,0.411555466666667
LL1-B2B/2016-01-19_BG/LL1-3_CAST.avi-NA,LL1-B2B/2016-01-19_BG/LL1-3_CAST.avi,CAST/EiJ,Agouti,1,F,0,13.9,LL1-3,3,11,2016-01-19,2019-11-21 10:40:00,2733.37,11647.293,28215.136,293.6,1071.5001,2937.9666,6.43333,128.53329,362.099994,7.36667,25.43334,102.00007,0.0427658484848485,1,3,12,0.00483405483405483,7.36667,8.47778,8.50000583333333,0.0083850479684821,37.5,24.66667,0.657777866666667
LL1-B2B/2016-01-19_BG/LL1-4_CAST.avi-NA,LL1-B2B/2016-01-19_BG/LL1-4_CAST.avi,CAST/EiJ,Agouti,1,F,0,13.4,LL1-4,4,11,2016-01-19,2019-11-21 10:40:00,2947.1,12140.671,26586.052,291.7667,1145.5667,3084.5336,8.233326,54.433355,215.533403,7.13333,28.4667,91.00013,-0.00523812337662338,1,3,8,-0.00064935064935065,7.13333,9.4889,11.37501625,0.0164059542668228,32.5,38.7334,1.19179692307692
